2020-01-25 16:59:14.306 [INFO ] ssdb-server.cpp(46): ssdb-server 1.9.4
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(47): conf_file        : ssdb.conf
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(48): log_level        : debug
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(49): log_output       : log.txt
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(50): log_rotate_size  : 1000000000
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(52): main_db          : ./var/data
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(53): meta_db          : ./var/meta
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(54): cache_size       : 500 MB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(55): block_size       : 32 KB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(56): write_buffer     : 64 MB
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(57): max_open_files   : 500
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(58): compaction_speed : 1000 MB/s
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(59): compression      : no
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(60): binlog           : no
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(61): binlog_capacity  : 20000000
2020-01-25 16:59:14.309 [INFO ] ssdb-server.cpp(62): sync_speed       : 0 MB/s
2020-01-25 16:59:14.586 [INFO ] server.cpp(171): server listen on 127.0.0.1:8888
2020-01-25 16:59:14.586 [INFO ] server.cpp(181): auth: off
2020-01-25 16:59:14.586 [DEBUG] cluster.cpp(13): Cluster init
2020-01-25 16:59:14.586 [DEBUG] ttl.cpp(113): load 0 keys into fast_keys
2020-01-25 16:59:14.586 [INFO ] serv.cpp(331): key_range.kv: "", ""
2020-01-25 16:59:14.586 [INFO ] ssdb-server.cpp(85): pidfile: ./var/ssdb.pid, pid: 10440
2020-01-25 16:59:14.586 [INFO ] ssdb-server.cpp(86): ssdb server started.
2020-01-25 16:59:14.586 [DEBUG] worker.cpp(17): writer 0 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 0 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 1 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 2 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 3 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 4 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 5 init
2020-01-25 16:59:14.587 [DEBUG] worker.cpp(17): reader 6 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 7 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 8 init
2020-01-25 16:59:14.588 [DEBUG] worker.cpp(17): reader 9 init
2020-01-25 17:00:42.378 [DEBUG] server.cpp(241): new link from 127.0.0.1:1049, fd: 17, links: 1
2020-01-25 17:00:42.382 [DEBUG] server.cpp(336): w:0.008,p:0.115, req: hset raw_proxy 117.88.4.217:3000 [152], resp: ok 1
2020-01-25 17:00:42.384 [DEBUG] server.cpp(336): w:0.033,p:0.041, req: hset raw_proxy 123.149.141.78:9999 [154], resp: ok 1
2020-01-25 17:00:42.388 [DEBUG] server.cpp(336): w:0.009,p:0.045, req: hset raw_proxy 182.108.45.33:9999 [153], resp: ok 1
2020-01-25 17:00:42.392 [DEBUG] server.cpp(336): w:0.006,p:0.209, req: hset raw_proxy 121.237.148.102:3000 [155], resp: ok 1
2020-01-25 17:00:42.396 [DEBUG] server.cpp(336): w:0.006,p:0.025, req: hset raw_proxy 117.88.4.63:3000 [151], resp: ok 1
2020-01-25 17:00:42.400 [DEBUG] server.cpp(336): w:0.007,p:0.027, req: hset raw_proxy 218.60.8.99:3129 [151], resp: ok 1
2020-01-25 17:00:42.404 [DEBUG] server.cpp(336): w:0.035,p:0.031, req: hset raw_proxy 39.137.69.8:8080 [151], resp: ok 1
2020-01-25 17:00:42.408 [DEBUG] server.cpp(336): w:0.007,p:0.034, req: hset raw_proxy 183.146.213.157:80 [153], resp: ok 1
2020-01-25 17:00:42.412 [DEBUG] server.cpp(336): w:0.006,p:0.031, req: hset raw_proxy 101.4.136.34:81 [150], resp: ok 1
2020-01-25 17:00:42.414 [DEBUG] server.cpp(336): w:0.034,p:0.028, req: hset raw_proxy 39.137.107.98:80 [151], resp: ok 1
2020-01-25 17:00:42.418 [DEBUG] server.cpp(336): w:0.050,p:0.027, req: hset raw_proxy 39.137.69.7:8080 [151], resp: ok 1
2020-01-25 17:00:42.422 [DEBUG] server.cpp(336): w:0.049,p:0.028, req: hset raw_proxy 39.137.69.9:8080 [151], resp: ok 1
2020-01-25 17:00:42.426 [DEBUG] server.cpp(336): w:0.006,p:0.028, req: hset raw_proxy 60.167.23.50:9999 [152], resp: ok 1
2020-01-25 17:00:42.430 [DEBUG] server.cpp(336): w:0.006,p:0.030, req: hset raw_proxy 114.99.2.182:9999 [152], resp: ok 1
2020-01-25 17:00:42.434 [DEBUG] server.cpp(336): w:0.038,p:0.031, req: hset raw_proxy 58.212.206.150:9999 [154], resp: ok 1
2020-01-25 17:00:42.438 [DEBUG] server.cpp(336): w:0.034,p:0.035, req: hset raw_proxy 223.199.22.43:9999 [153], resp: ok 1
2020-01-25 17:00:42.442 [DEBUG] server.cpp(336): w:0.007,p:0.036, req: hset raw_proxy 58.212.42.112:9999 [153], resp: ok 1
2020-01-25 17:00:42.446 [DEBUG] server.cpp(336): w:0.034,p:0.030, req: hset raw_proxy 111.72.25.13:9999 [152], resp: ok 1
2020-01-25 17:00:42.450 [DEBUG] server.cpp(336): w:0.038,p:0.070, req: hset raw_proxy 125.123.141.219:9999 [155], resp: ok 1
2020-01-25 17:00:42.452 [DEBUG] server.cpp(336): w:0.010,p:0.031, req: hset raw_proxy 223.199.21.212:9999 [154], resp: ok 1
